Columns	ConvolutionKernel	DistanceSourceToDetector	DistanceSourceToPatient	Exposure	ExposureTime	FilterType	FocalSpots	FrameOfReferenceUID	GeneratorPower	ImageOrientationPatient	ImagePositionPatient	PixelSpacing	ReconstructionDiameter	RotationDirection	Rows	SOPInstanceUID	SliceThickness	XRayTubeCurrent
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-160.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.136260655709848406065969055669	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-210.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.142652236215375821016559311870	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-207.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.143451261327128179989900675595	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-20.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.144082670553276891543830686836	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-235.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.145296938458783603225033653834	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-225.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.147102479985491383564149238803	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-287.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.148281458488886608205049791368	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-272.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.148475496650497867852510948787	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-162.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.150271949416515730998756039276	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-260.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.152439343021618403005912499352	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-215.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.154116631153296985187001782576	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-127.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.154484779056345312962062329062	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-205.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.157925065521455868517604794732	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-30.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.164485781065555413324492008624	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-232.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.165956265923773760303844406798	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-85.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.166145949953027223374470958582	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-25.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.166236089135205266299769279948	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-155.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.168455315430400230760980291950	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-247.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.169525484182327132519797224686	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-240.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.170054317967623610754241422196	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-222.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.174570107689424884042871178520	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-192.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.187344705419805363482140612341	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-147.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.187473973659198848865964798376	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-307.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.188346559957770461405804037053	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-255.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.189326175962760378238867950139	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-305.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.189873581367743509083304574705	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-95.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.190474121331501352182835847932	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-45.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.191903244423867893617286976466	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-270.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.192735384980693271856227715135	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-187.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.193784360214506863621989507827	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-142.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.194158031665689976124019603992	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-195.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.195458112408977878368429993130	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-237.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.200052794074911797976772530651	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-230.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.201239728533350762649445834208	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-102.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.202230741449505768669326688890	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-110.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.202709423777326615340853838834	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-35.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.204487675172987979871788732111	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-17.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.206640541506977476724765515823	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-70.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.206902770254397949322141835607	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-52.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.213035562624371716220285102827	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-197.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.214221739560442223998791571292	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-337.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.214427241583269325203697418223	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-300.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.216885068650122967962046443811	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-152.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.222574891573356437731625962845	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-62.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.223237933020830204926737332604	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-32.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.224825877563911119032132489531	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-47.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.225355447149448389850366356384	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-75.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.225944809754657653157877177793	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-340.000000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.227129408140157230270926028555	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-92.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.232081531370731776453312654365	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-312.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.232216097962219162572680623034	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-282.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.233648498851617506726122451230	2.500000	400
512	STANDARD	949.075012	541.000000	4684	570	BODY FILTER	1.200000	1.3.6.1.4.1.14519.5.2.1.6279.6001.229925374658226729607867499499	48000	1.000000/0.000000/0.000000/0.000000/1.000000/0.000000	-166.000000/-171.699997/-87.500000	0.703125/0.703125	360.000000	CW	512	1.3.6.1.4.1.14519.5.2.1.6279.6001.240054680684287960646414588091	2.500000	400
