ClinicalTrialSeriesID	ClinicalTrialTimePointID	Columns	ContentCreatorName	NumberOfFrames	Rows	SOPInstanceUID	SegmentationType
1	1	128	Automated Cerebellum Reference Region Segmentation	14	128	1.2.276.0.7230010.3.1.4.8323329.18264.1440001306.954293	BINARY
1	1	128	Automated Liver Reference Region Segmentation	17	128	1.2.276.0.7230010.3.1.4.8323329.18294.1440001307.576778	BINARY
1	1	128	User1	13	128	1.2.276.0.7230010.3.1.4.8323329.18355.1440001308.643362	BINARY
2	1	128	User1	13	128	1.2.276.0.7230010.3.1.4.8323329.18414.1440001309.742217	BINARY
1	1	128	User1	13	128	1.2.276.0.7230010.3.1.4.8323329.18473.1440001310.727495	BINARY
2	1	128	User1	14	128	1.2.276.0.7230010.3.1.4.8323329.18532.1440001311.773522	BINARY
1	1	128	User2	13	128	1.2.276.0.7230010.3.1.4.8323329.18591.1440001312.777033	BINARY
2	1	128	User2	12	128	1.2.276.0.7230010.3.1.4.8323329.18648.1440001313.775071	BINARY
1	1	128	User2	13	128	1.2.276.0.7230010.3.1.4.8323329.18707.1440001314.880295	BINARY
2	1	128	User2	14	128	1.2.276.0.7230010.3.1.4.8323329.18766.1440001315.894931	BINARY
1	1	128	User3	13	128	1.2.276.0.7230010.3.1.4.8323329.18826.1440001316.863789	BINARY
2	1	128	User3	14	128	1.2.276.0.7230010.3.1.4.8323329.18885.1440001317.872308	BINARY
1	1	128	User3	13	128	1.2.276.0.7230010.3.1.4.8323329.18945.1440001318.898975	BINARY
2	1	128	User3	13	128	1.2.276.0.7230010.3.1.4.8323329.19004.1440001319.883812	BINARY
1	1	512	Automated Aortic Arch Reference Region Segmentation	12	512	1.2.276.0.7230010.3.1.4.8323329.19063.1440001328.721864	BINARY
1	1	128	Automated Cerebellum Reference Region Segmentation	15	128	1.2.276.0.7230010.3.1.4.8323329.19093.1440001329.422550	BINARY
1	1	128	Automated Liver Reference Region Segmentation	27	128	1.2.276.0.7230010.3.1.4.8323329.19123.1440001329.936900	BINARY
1	1	128	User1	11	128	1.2.276.0.7230010.3.1.4.8323329.19180.1440001330.907568	BINARY
2	1	128	User1	10	128	1.2.276.0.7230010.3.1.4.8323329.19236.1440001331.990060	BINARY
1	1	128	User1	9	128	1.2.276.0.7230010.3.1.4.8323329.19291.1440001333.6181	BINARY
2	1	128	User1	9	128	1.2.276.0.7230010.3.1.4.8323329.19346.1440001334.11578	BINARY
1	1	128	User2	10	128	1.2.276.0.7230010.3.1.4.8323329.19401.1440001335.123851	BINARY
2	1	128	User2	9	128	1.2.276.0.7230010.3.1.4.8323329.19456.1440001336.228852	BINARY
1	1	128	User2	13	128	1.2.276.0.7230010.3.1.4.8323329.19515.1440001337.180089	BINARY
2	1	128	User2	13	128	1.2.276.0.7230010.3.1.4.8323329.19574.1440001338.128874	BINARY
1	1	128	User3	11	128	1.2.276.0.7230010.3.1.4.8323329.19632.1440001339.100666	BINARY
2	1	128	User3	12	128	1.2.276.0.7230010.3.1.4.8323329.19689.1440001340.126627	BINARY
1	1	128	User3	11	128	1.2.276.0.7230010.3.1.4.8323329.19746.1440001341.179873	BINARY
2	1	128	User3	13	128	1.2.276.0.7230010.3.1.4.8323329.19805.1440001342.141991	BINARY
1	1	512	Automated Aortic Arch Reference Region Segmentation	8	512	1.2.276.0.7230010.3.1.4.8323329.19866.1440001356.86424	BINARY
1	1	128	Automated Cerebellum Reference Region Segmentation	17	128	1.2.276.0.7230010.3.1.4.8323329.19899.1440001357.186323	BINARY
1	1	128	Automated Liver Reference Region Segmentation	23	128	1.2.276.0.7230010.3.1.4.8323329.19929.1440001358.56040	BINARY
1	1	128	User1	13	128	1.2.276.0.7230010.3.1.4.8323329.20013.1440001360.529936	BINARY
2	1	128	User1	10	128	1.2.276.0.7230010.3.1.4.8323329.20093.1440001362.811456	BINARY
1	1	128	User1	14	128	1.2.276.0.7230010.3.1.4.8323329.20179.1440001365.123124	BINARY
2	1	128	User1	15	128	1.2.276.0.7230010.3.1.4.8323329.20256.1440001367.522637	BINARY
1	1	128	User2	12	128	1.2.276.0.7230010.3.1.4.8323329.20338.1440001369.877606	BINARY
2	1	128	User2	14	128	1.2.276.0.7230010.3.1.4.8323329.20425.1440001372.331793	BINARY
1	1	128	User2	13	128	1.2.276.0.7230010.3.1.4.8323329.20509.1440001374.798373	BINARY
2	1	128	User2	12	128	1.2.276.0.7230010.3.1.4.8323329.20592.1440001377.53065	BINARY
1	1	128	User3	12	128	1.2.276.0.7230010.3.1.4.8323329.20674.1440001379.516580	BINARY
2	1	128	User3	15	128	1.2.276.0.7230010.3.1.4.8323329.20762.1440001381.783643	BINARY
1	1	128	User3	16	128	1.2.276.0.7230010.3.1.4.8323329.20838.1440001384.73095	BINARY
2	1	128	User3	16	128	1.2.276.0.7230010.3.1.4.8323329.20914.1440001386.374538	BINARY
1	1	512	Automated Aortic Arch Reference Region Segmentation	13	512	1.2.276.0.7230010.3.1.4.8323329.20973.1440001395.600106	BINARY
1	1	128	Automated Cerebellum Reference Region Segmentation	16	128	1.2.276.0.7230010.3.1.4.8323329.21003.1440001396.316070	BINARY
1	1	128	Automated Liver Reference Region Segmentation	23	128	1.2.276.0.7230010.3.1.4.8323329.21033.1440001396.844644	BINARY
1	1	128	User1	27	128	1.2.276.0.7230010.3.1.4.8323329.21173.1440001399.543799	BINARY
2	1	128	User1	25	128	1.2.276.0.7230010.3.1.4.8323329.21323.1440001402.346571	BINARY
1	1	128	User1	36	128	1.2.276.0.7230010.3.1.4.8323329.21461.1440001405.32420	BINARY
2	1	128	User1	32	128	1.2.276.0.7230010.3.1.4.8323329.21598.1440001407.831201	BINARY
1	1	128	User2	32	128	1.2.276.0.7230010.3.1.4.8323329.21737.1440001410.683989	BINARY
2	1	128	User2	30	128	1.2.276.0.7230010.3.1.4.8323329.21879.1440001413.377103	BINARY
1	1	128	User2	33	128	1.2.276.0.7230010.3.1.4.8323329.22048.1440001416.180011	BINARY
2	1	128	User2	33	128	1.2.276.0.7230010.3.1.4.8323329.22206.1440001418.977008	BINARY
1	1	128	User3	38	128	1.2.276.0.7230010.3.1.4.8323329.22348.1440001421.904481	BINARY
2	1	128	User3	37	128	1.2.276.0.7230010.3.1.4.8323329.22501.1440001424.807663	BINARY
1	1	128	User3	32	128	1.2.276.0.7230010.3.1.4.8323329.22651.1440001427.437108	BINARY
2	1	128	User3	30	128	1.2.276.0.7230010.3.1.4.8323329.22797.1440001430.98599	BINARY
Session1	1	256	BRATS	111	256	1.2.276.0.7230010.3.1.4.8323329.3096453.1531852342.11339	BINARY
Session1	1	256	BRATS	213	256	1.2.276.0.7230010.3.1.4.8323329.3099448.1531852345.448072	BINARY
Session1	1	256	BRATS	108	256	1.2.276.0.7230010.3.1.4.8323329.3101166.1531852346.990354	BINARY
Session1	1	512	BRATS	108	512	1.2.276.0.7230010.3.1.4.8323329.3121581.1531852368.642047	BINARY
Session1	1	512	BRATS	216	512	1.2.276.0.7230010.3.1.4.8323329.3123875.1531852371.825371	BINARY
Session1	1	512	BRATS	216	512	1.2.276.0.7230010.3.1.4.8323329.3126825.1531852375.472928	BINARY
Session1	1	256	BRATS	234	256	1.2.276.0.7230010.3.1.4.8323329.3063054.1531852311.356185	BINARY
Session1	1	512	BRATS	126	512	1.2.276.0.7230010.3.1.4.8323329.3065752.1531852313.581037	BINARY
Session1	1	512	BRATS	240	512	1.2.276.0.7230010.3.1.4.8323329.3068561.1531852316.580356	BINARY
Session1	1	256	BRATS	150	256	1.2.276.0.7230010.3.1.4.8323329.3054872.1531852304.42921	BINARY
Session1	1	256	BRATS	150	256	1.2.276.0.7230010.3.1.4.8323329.3057387.1531852305.881281	BINARY
Session1	1	256	BRATS	150	256	1.2.276.0.7230010.3.1.4.8323329.3059262.1531852307.751475	BINARY
Session1	1	512	BRATS	207	512	1.2.276.0.7230010.3.1.4.8323329.3021316.1531852268.20926	BINARY
Session1	1	512	BRATS	108	512	1.2.276.0.7230010.3.1.4.8323329.3124153.1531852371.660387	BINARY
Session1	1	512	BRATS	216	512	1.2.276.0.7230010.3.1.4.8323329.3128092.1531852377.127471	BINARY
Session1	1	512	BRATS	72	512	1.2.276.0.7230010.3.1.4.8323329.3163452.1531852420.322799	BINARY
Session1	1	320	BRATS	84	320	1.2.276.0.7230010.3.1.4.8323329.3165253.1531852421.399002	BINARY
Session1	1	288	BRATS	72	288	1.2.276.0.7230010.3.1.4.8323329.3167011.1531852422.224004	BINARY
Session1	1	320	BRATS	72	320	1.2.276.0.7230010.3.1.4.8323329.3168388.1531852423.175547	BINARY
Session1	1	560	BRATS	56	560	1.2.276.0.7230010.3.1.4.8323329.7642.1531853866.782911	BINARY
Session1	1	336	BRATS	56	336	1.2.276.0.7230010.3.1.4.8323329.7754.1531853867.663464	BINARY
Session1	1	336	BRATS	44	336	1.2.276.0.7230010.3.1.4.8323329.7854.1531853868.316317	BINARY
Session1	1	288	BRATS	240	288	1.2.276.0.7230010.3.1.4.8323329.7979.1531853870.322127	BINARY
Session1	1	256	BRATS	90	256	1.2.276.0.7230010.3.1.4.8323329.3182622.1531852432.927344	BINARY
Session1	1	256	BRATS	75	256	1.2.276.0.7230010.3.1.4.8323329.3183350.1531852433.658524	BINARY
Session1	1	256	BRATS	354	256	1.2.276.0.7230010.3.1.4.8323329.3184689.1531852434.985595	BINARY
Session1	1	512	BRATS	72	512	1.2.276.0.7230010.3.1.4.8323329.3188113.1531852437.107139	BINARY
Session1	1	320	BRATS	600	320	1.2.276.0.7230010.3.1.4.8323329.9014.1531853883.71934	BINARY
Session1	1	320	BRATS	84	320	1.2.276.0.7230010.3.1.4.8323329.9214.1531853886.883331	BINARY
Session1	1	256	BRATS	48	256	1.2.276.0.7230010.3.1.4.8323329.9326.1531853887.558268	BINARY
Session1	1	512	BRATS	72	512	1.2.276.0.7230010.3.1.4.8323329.9390.1531853888.221447	BINARY
Session1	1	512	BRATS	48	512	1.2.276.0.7230010.3.1.4.8323329.6555.1531853852.721590	BINARY
Session1	1	336	BRATS	48	336	1.2.276.0.7230010.3.1.4.8323329.6651.1531853853.603516	BINARY
Session1	1	288	BRATS	48	288	1.2.276.0.7230010.3.1.4.8323329.6747.1531853854.210125	BINARY
Session1	1	320	BRATS	48	320	1.2.276.0.7230010.3.1.4.8323329.6843.1531853854.790023	BINARY
